Words,Class
abbbbbbbcc,1
aaaabbcccccccc,1
aaaabcccccccc,1
aaaabbbbcccccccc,1
aaabcccccc,1
abbbbbbbbcc,1
aaabbbbcccccc,1
aaaaaaaabcccccccccccccccc,1
aabbbbbcccc,1
aabbbbcccc,1
aaabbbcccccc,1
aabbbbbbbcccc,1
aaaaaabcccccccccccc,1
aaabbbbbbcccccc,1
aaaaaaaaaabbcccccccccccccccccccc,1
abbbbbbbbbbcc,1
aaaaabcccccccccc,1
aabbbbbbcccc,1
abbbbbbbbbbbcc,1
aaaaabbcccccccccc,1
abbbbbbbbbcc,1
aaabbbbbbbbcccccc,1
aaaaabbbcccccccccc,1
aaaabbbcccccccc,1
aabbbbbbbbcccc,1
aaabbcccccc,1
aabbbbbbbbbcccc,1
abbbbbbbbbbbbbcc,1
abbbbbbbbbbbbcc,1
aaabbbbbbbbbbbcccccc,1
abbbbbbbbbbbbbbcc,1
aaabbbbbcccccc,1
aabbbbbbbbbbbbcccc,1
aaaaaaabcccccccccccccc,1
aaaaaaaaabbbcccccccccccccccccc,1
aaaaabbbbbcccccccccc,1
aaaaaaabbcccccccccccccc,1
abbbbbbbbbbbbbbbbbcc,1
aaaaaabbbbcccccccccccc,1
aabbbbbbbbbbbbbbcccc,1
aabbbbbbbbbbcccc,1
aabbbbbbbbbbbbbbbbbbbbbcccc,1
aaabbbbbbbbbcccccc,1
aaaaaaaabbbbcccccccccccccccc,1
aaaaaabbbcccccccccccc,1
aaaaaaaaabbbbcccccccccccccccccc,1
aabbbbbbbbbbbbbcccc,1
aaaaaabbcccccccccccc,1
aaaaaabbbbbcccccccccccc,1
aaaabbbbbcccccccc,1
aaaaaaabbbcccccccccccccc,1
aaaaaaabbbbbcccccccccccccc,1
aaaaabbbbbbcccccccccc,1
aaaabbbccccccccccccccccccccccccc,0
abbbbbbbbbbbbbbbcc,1
aaaabbbbbbbbcccccccc,1
aaaaaaaaaabcccccccccccccccccccc,1
aaaaaaaaabcccccccccccccccccc,1
abbbcccccccccccccccccccccccccccccccccccccc,0
aaaaabbbbcccccccccc,1
aaaabbbbbbcccccccc,1
aabbbbbbbbbbbcccc,1
aaaaaaaabbcccccccccccccccc,1
aaaaaaaaaabbbbcccccccccccccccccccc,1
aaabbbbbbbcccccc,1
aaaaaaabbbbcccccccccccccc,1
aaaaabbbbbbbcccccccccc,1
aaaaabbbbbbbbcccccccccc,1
aaabbbbbbbbbbcccccc,1
aaaaaaaaabbcccccccccccccccccc,1
aabbcccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaaabcccccccccccccccccccccccccccc,1
aaaaaaaabbbcccccccccccccccc,1
abbbbbbbbbbbbbbbbbbcc,1
abbbbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbbbbbbbbbbbbbbbcc,1
aabbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaabcccccccccccccccccccccc,1
aabccccccccccccccccccc,0
aabbbcccccccccccccc,0
aabccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaabbbbccccccccc,0
aabbbbbbbbbbbbbbbbbcccc,1
aaaabbbbbbbcccccccc,1
abcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabbbccccccccccccccccccccccc,0
aaaaaaaaaaabbcccccccccccccccccccccc,1
aaaaaabbbbbbbbcccccccccccc,1
aaaaaaabbbbbbbcccccccccccccc,1
aaaaaaaaaaaaaabbbcccccccccccccccccccccccccccc,1
aaaabcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaabcccccccccccccccccccccccccccccccc,0
aaaabccccc,0
aaaabbbbbbbbbcccccccc,1
aaaaaaaaaaaabbbbbbbcccccccccccccccccccccccc,1
aaaaaaaaaaaabbbbbcccccccccccccccccccccccc,1
aaaaaaabbbbbbcccccccccccccc,1
abccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaabbcccccccccccccccccccccccc,1
aaaaaabbbbbbcccccccccccc,1
aaaaaaaabbbbbbcccccccccccccccc,1
aabbbccccccccccccccccccccccccccccccccccc,0
aaaaaabbbbbbbbbcccccccccccc,1
abbbbbbbbbbbbbbbbbbbcc,1
aabcccccccccccccccccccccccccccccccccccccccccc,0
abcccccccccccccccccccccccccc,0
abbcccccccccccccccccccccccccccccccccccc,0
abcccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abcccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaabbbcccccccccccccccccccc,1
abcccccccc,0
aabbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabbbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaabbccccccccccccccc,0
aabcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaabbbbcccccccccccccccccccccccccc,0
aabccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaabbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaabccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaabcccccccccccccccccccccccc,1
aaaaaaaaabbbbbbcccccccccccccccccc,1
aaaaabccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbbbbbbbbbbbbbbbbbbbbbcc,1
aabcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaabcccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaabbbbcccccccccccccccccccccccc,1
aaaaabbbbbbbbbcccccccccc,1
abccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbcccccccccccccccccccccccccccccccccccccccccccccc,0
aabccccccccc,0
aaabcccccccccccccccccccccccccc,0
abcccccccccccccccccccccc,0
aaaaaaaaaabbbbbcccccccccccccccccccc,1
abccccccccccccccccccc,0
abccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaaaaaaaabcccccccccccccccccccccccccccccccccccccc,1
abccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abcccccccccccccccccccccccc,0
aaaaabccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaabbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaabbbcccccccccccccccccccccc,1
aaaaaaaabbbbbcccccccccccccccc,1
abbccccccccccccccccccccccccccccccccc,0
abccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbccccccccccccccccccccccccccccccc,0
aabcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaabccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabbbbbbbbbbbbbbbbcccc,1
aabcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbccccccccccccccccccccccccc,0
aaaabbbbbbbbbbcccccccc,1
abbcccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaabbbbbcccccccccccccccccc,1
abccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaabbbbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabbccccccccccccccccc,0
aabcccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaabbbbbbbbbbbbbbcccccccccc,1
aaaaaabbbbbbbcccccccccccc,1
aaabbccccccccc,0
aabcccccccccccccccccccccccccccccccccccccc,0
aaaaaabbbbbbbbbbbbbcccccccccccc,1
abbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbbcccccccccccccccccccccccc,0
abccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaabbbbbbbbccccccccccccccccccccccccccccccccccccc,0
aabbcccccccccccccccccccccccccccccccccccccccccccc,0
aaaabccccccccccccc,0
abcccccccccccccccccccccccccccc,0
aaaaaaaaaaabbbbbbbbcccccccccccccccccccccc,1
aaaaaaaaaaabbbbcccccccccccccccccccccc,1
aabccccccccccccccccccccccccccccccc,0
abcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbbbbbbbbbbbbbbbbbbbcc,1
abccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaaaaabcccccccccccccccccccccccccccccccc,1
abcccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaaabbbbcccccccccccccccccccccccccccc,1
aabbbbbbbbbbbbbbbbbbcccc,1
abbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abcccccccccccccc,0
abbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbbbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaabcccccccccccccccccccccccccc,1
abbbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabbbbbcccccccccc,0
aabbbbbbbbbbbbbbbcccc,1
aaaaabbbbbbbbbbbbbcccccccccc,1
aabbbcccccccccccccccccccccccc,0
aabcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaabbbbbbcccccccccccccccccccc,1
aabbbcccccccccccccccccccccccccc,0
abbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abccccccccccccccccccccccc,0
aaaaaaaaaaaaabbbbcccccccccccccccccccccccccc,1
abccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaaaabcccccccccccccccccccccccccccccc,1
abccccccccccccccccccccccccccc,0
abcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaabbbbbbbbcccccccccccccc,1
aabbbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaabbbbbcccccccccccc,0
aaaaaaabbbbcccccccccccccccccccccccccccccccccccccccccccccccc,0
abbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaaaaaaabcccccccccccccccccccccccccccccccccccc,1
aaabbbbbbbbbbbbcccccc,1
aabcccccccccccccccccccccccccc,0
abbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaabbbbbbbbbbcccccccccccc,1
abbbcccccccc,0
abccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abcccccccccccccccccc,0
aaabbbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaabbbbbcccccccccccccccccccccc,1
aaaaabbbbbbbbbbcccccccccc,1
abcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaabcccccccccccccccccccccccccccc,0
abcccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaabbbbbbbbbcccccccccccccccc,1
aaabcccccccccccccccccccc,0
aaaabbbbbbbbbbbbcccccccc,1
aaabccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaabbbbbbbcccccccccccccccc,1
aaaabccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaabbbccccccccccccccccccccccccccccccccccccccccccccc,0
aaabccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abccccccccccccccccccccccccccccccccc,0
aaabccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabbbbbbccccccccccccccccccccccccccccccccccccccccccccccc,0
abbbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbccccccccccccc,0
abccccccccccccccccccccc,0
abcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabcccccccccccccc,0
abbbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaabccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaabbbbbbbbcccccccccccccccccccc,1
abbbbbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbcccccccccccccccccccccccccccccc,0
aabcccccccccccccccccccccccccccccccccc,0
abbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbbbbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaabbbbbbbbbbcccccccccccccccccc,1
abccccccccccccccccccccccccccccccccccccccc,0
abcccccccccccccccccccccccccccccccccccccccccc,0
aabccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abccccccccccccccccc,0
aabbbccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaaaabbcccccccccccccccccccccccccccccc,1
aaaaaaaaaaaaaaaabbbbbcccccccccccccccccccccccccccccccc,1
aabbbbbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaabccccccccccccccccccccccccccccccccccc,0
aaaabbbbbbbbbbbcccccccc,1
aaaaaaaaaaabbbbbbbbbcccccccccccccccccccccc,1
aabcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaabccccccc,0
aabbbcccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaabcccccccccccccccc,0
abcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabbccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaabbcccccccccccccccccccccccccc,1
abbbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbbbbbcccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaabbbcccccccccccccccccccccccccc,1
abbbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaabbcccccccccccccccccccccccccccccccccc,0
aabbcccccccccccccccccc,0
abcccccccccccccccccccccccccccccccccc,0
abcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabccccccccccccccccccccccccccccccccccccccc,0
aabbbcccccccccccccccccccccccccccccc,0
aaaaaabbbbbbbbbbbcccccccccccc,1
aaaaaaabbbbbbbbbcccccccccccccc,1
abbcccccccccccccccccccccccccccccccccccccccc,0
aabccccccccccccccccccccccccccccccccccccccccc,0
aabbbbccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaaaaaaaaaaabbcccccccccccccccccccccccccccccccc,1
aaaaabbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abcccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaaaaabbbbcccccccccccc,0
aaabcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aabccccccccccccccccccccccccccc,0
abccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaaabbccccccccccccccc,0
aabbbbbccccccccccccccc,0
aaaabbccccccccccccccccc,0
abbccccccccccccccc,0
abbcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
abbbbbbcccccccccccccccccccccccccccccccccccccccccc,0
abccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,0
aaabcccccccccccccc,0
aaaaaaaaabbbbbbbcccccccccccccccccc,1
